en,te
"This is the beautiful place where
the story of bright Yuki begins.","ప్రకాశవంతమైన యుకీ కథ 
ప్రారంభమయ్యే అందమైన ప్రదేశం ఇది."
Yuki was an orphan.,"యుకీ ఒక అనాధ."
"On a snowy winter night ten years ago, 
she was left at the front door 
of an orphanage.","పదేళ్ల క్రితం మంచుతో కూడిన 
శీతాకాలపు రాత్రి, ఆమె ఒక అనాథాశ్రమం 
ముందు తలుపు వద్ద వదిలివేయబడింది."
"Despite her unfortunate situation, 
Yuki grew up a strong and 
free-spirited young girl.","ఆమె దురదృష్టకర పరిస్థితి 
ఉన్నప్పటికీ, యుకి ఒక బలమైన మరియు 
స్వేచ్ఛాయుత యువతిగా పెరిగింది."
All right! All clean!,అయితే సరే! అన్నీ శుభ్రంగా!
"Hey, you!","హే, నువ్వు!"
Help me! Teacher!,"సహాయం! టీచర్!"
"She often surprised 
people with how energetic 
she was, but she was a 
pure-hearted girl.","ఆమె ఎంత శక్తివంతమైనది అని 
ఆమె తరచుగా ప్రజలను 
ఆశ్చర్యపరుస్తుంది, కానీ ఆమె 
స్వచ్ఛమైన హృదయం గల అమ్మాయి."
"But she had strange quirks 
as well, she'd get so happy 
talking to people that 
she'd hit them.","కానీ ఆమెకి చమత్కారాలు కూడా ఉన్నాయి, 
ఆమె ప్రజలతో మాట్లాడినందుకు చాలా 
సంతోషంగా ఉంటుంది, తద్వారా ఆమె 
వారిని కొట్టింది."
"One day her life unexpectedly 
changed, she was sent 
to an orphanage run by 
a rich family.","ఒకరోజు ఆమె జీవితం ఊహించని 
విధంగా మారిపోయింది, ధనిక కుటుంబం 
నిర్వహిస్తున్న అనాథాశ్రమానికి ఆమె 
పంపబడింది."
"Despite feeling out of place 
in her new home, 
the kind people helped her 
adapt to her new life.","ఆమె కొత్త ఇంటిలో చోటు కోల్పోయినట్లు 
అనిపించినప్పటికీ, దయగల వ్యక్తులు 
ఆమెకు కొత్త జీవితానికి అనుగుణంగా 
సహాయపడ్డారు."
"Her happy days continued 
at the orphanage.","ఆమె సంతోషకరమైన రోజులు 
అనాథాశ్రమంలో కొనసాగాయి."
"Alas, her life is about to change.","అయ్యో, ఆమె జీవితం మారబోతోంది."
"There was a sudden attack 
on the orphanage, leaving it in ruins.","అనాథ శరణాలయంపై అకస్మాత్తుగా 
దాడి జరగడంతో శిథిలమైపోయింది."
"Her adopted father was taken 
away by the police. 
Yuki was on her own again.","ఆమె దత్తత తీసుకున్న తండ్రిని 
పోలీసులు తీసుకెళ్లారు. 
యుకి మళ్లీ తనంతట తానే."
"She stood by and supported 
her friend who was overcome with grief.","ఆమె లేచి నిలబడి దుఖంలో మునిగిపోతున్న 
తన స్నేహితుడికి మద్దతునిచ్చింది."
"She then discovered a hint to 
the secret about her birth in the 
cross that she always wore.","ఆమె ఎప్పుడూ ధరించే శిలువలో 
ఆమె పుట్టుక గురించి రహస్యానికి 
సూచనను ఆమె కనుగొంది."
"Her adopted parents turned 
out to be her real parents.","ఆమె దత్తత తీసుకున్న తల్లిదండ్రులు 
నిజానికి ఆమె నిజమైన తల్లిదండ్రులు."
"Alas, she was late. 
Her father has passed away.","అయ్యో, ఆమె ఆలస్యమైంది. 
ఆమె తండ్రి కన్నుమూశారు."
"She swore an oath to 
find her mother.
","ఆమె తన తల్లిని 
కనుగొంటానని ప్రమాణం చేసింది.
"
"She ran away from the 
next orphanage she was put in.","ఆమె పెట్టిన తదుపరి 
అనాథాశ్రమం నుండి పారిపోయింది."
"Yuki started searching 
everywhere for her mother.","యుకీ తన తల్లి కోసం 
ప్రతిచోటా వెతకడం ప్రారంభించింది."
 Everywhere!, ప్రతిచోటా!
"Despite living through such sadness, 
Yuki grew up to be a strong girl.","ఇంత దుఖంతో జీవిస్తున్నప్పటికీ, 
యుకీ బలమైన అమ్మాయిగా ఎదిగింది."
"A girl whose cheerfulness 
rivaled the sun's.","ఉల్లాసంగా సూర్యుడిని పోలి 
ఉండే అమ్మాయి."
"Along with her friend, 
she went on to gallantly 
search for her mother.","ఆమె తన స్నేహితుడితో పాటు, 
ఆమె తల్లి కోసం ధైర్యంగా 
వెతుకుతూ వచ్చింది."
One fortuitous day!,ఒక యాదృచ్ఛిక రోజు!
Mom!,అమ్మ!
Yuki!,యుకీ!
"And then she lived happily 
ever after with her mother.","ఆపై ఆమె తన తల్లితో 
సంతోషంగా జీవించింది."
