Date,Open,High,Low,Close,Volume,Stock
9/7/1984,0.42388,0.42902,0.41874,0.42388,23220030,AAPL
9/10/1984,0.42388,0.42516,0.41366,0.42134,18022532,AAPL
9/11/1984,0.42516,0.43668,0.42516,0.42902,42498199,AAPL
9/12/1984,0.42902,0.43157,0.41618,0.41618,37125801,AAPL
9/13/1984,0.43927,0.44052,0.43927,0.43927,57822062,AAPL
9/14/1984,0.44052,0.45589,0.44052,0.44566,68847968,AAPL
9/17/1984,0.45718,0.46357,0.45718,0.45718,53755262,AAPL
9/18/1984,0.45718,0.46103,0.44052,0.44052,27136886,AAPL
9/19/1984,0.44052,0.44566,0.43157,0.43157,29641922,AAPL
9/20/1984,0.43286,0.43668,0.43286,0.43286,18453585,AAPL
9/21/1984,0.43286,0.44566,0.42388,0.42902,27842780,AAPL
9/24/1984,0.42902,0.43157,0.42516,0.42516,22033109,AAPL
9/25/1984,0.42388,0.42388,0.41618,0.41618,46515020,AAPL
9/26/1984,0.41618,0.4354,0.41111,0.41111,30947546,AAPL
9/27/1984,0.41111,0.41366,0.41111,0.41111,29541971,AAPL
9/28/1984,0.41111,0.41111,0.39316,0.40081,65093531,AAPL
10/1/1984,0.39956,0.39956,0.39186,0.39186,27268068,AAPL
10/2/1984,0.39443,0.40853,0.39443,0.39443,32977801,AAPL
10/3/1984,0.40081,0.40724,0.40081,0.40081,33583772,AAPL
10/4/1984,0.40593,0.40853,0.40593,0.40593,34995586,AAPL
10/5/1984,0.40593,0.40593,0.39443,0.39699,27211851,AAPL
10/8/1984,0.39699,0.39956,0.39699,0.39699,13099922,AAPL
10/9/1984,0.39699,0.39956,0.39316,0.39316,34933112,AAPL
10/10/1984,0.39316,0.39316,0.38164,0.38164,101750813,AAPL
10/11/1984,0.38164,0.39186,0.37906,0.37906,50969114,AAPL
10/12/1984,0.37906,0.38164,0.35985,0.36241,74126674,AAPL
10/15/1984,0.38289,0.38674,0.38289,0.38289,67842205,AAPL
10/16/1984,0.38289,0.38419,0.38164,0.38164,32915346,AAPL
10/17/1984,0.39699,0.39956,0.39699,0.39699,43685142,AAPL
10/18/1984,0.40853,0.41111,0.40853,0.40853,68929180,AAPL
10/19/1984,0.40853,0.43668,0.40724,0.40853,90949795,AAPL
10/22/1984,0.40853,0.41491,0.40593,0.40593,32003288,AAPL
10/23/1984,0.41491,0.41874,0.41491,0.41491,51993625,AAPL
10/24/1984,0.41874,0.42388,0.41874,0.41874,46577491,AAPL
10/25/1984,0.41874,0.41874,0.40339,0.40339,44109940,AAPL
10/26/1984,0.40339,0.40339,0.39186,0.39316,32028264,AAPL
10/29/1984,0.39443,0.39699,0.39443,0.39443,14124427,AAPL
10/30/1984,0.39956,0.40339,0.39956,0.39956,20802447,AAPL
10/31/1984,0.39956,0.40339,0.39699,0.39699,16798133,AAPL
11/1/1984,0.39956,0.40339,0.39956,0.39956,13118654,AAPL
11/2/1984,0.39956,0.40081,0.39443,0.39699,7721268,AAPL
11/5/1984,0.39699,0.40593,0.39443,0.39443,29385798,AAPL
11/6/1984,0.41874,0.42134,0.41874,0.41874,62838381,AAPL
11/7/1984,0.41874,0.42134,0.41111,0.41111,64575036,AAPL
11/8/1984,0.41111,0.41111,0.39443,0.39443,24575618,AAPL
11/9/1984,0.39443,0.39699,0.36754,0.37138,82029108,AAPL
11/12/1984,0.38419,0.38674,0.38419,0.38419,31584733,AAPL
11/13/1984,0.38419,0.39316,0.37522,0.37522,35326680,AAPL
11/14/1984,0.37906,0.38289,0.37906,0.37906,29098422,AAPL
11/15/1984,0.37906,0.38289,0.37906,0.37906,29729373,AAPL
11/16/1984,0.37906,0.38419,0.36883,0.37138,46227662,AAPL
11/19/1984,0.37138,0.37394,0.34962,0.34962,64974836,AAPL
11/20/1984,0.36112,0.36241,0.36112,0.36112,73414508,AAPL
11/21/1984,0.36883,0.37138,0.36883,0.36883,49844653,AAPL
11/23/1984,0.37394,0.38419,0.37394,0.37906,38231510,AAPL
11/26/1984,0.38289,0.38289,0.38289,0.38289,28067691,AAPL
11/27/1984,0.39316,0.39699,0.39316,0.39316,35532822,AAPL
11/28/1984,0.41366,0.42388,0.41366,0.41366,114488422,AAPL
11/29/1984,0.41366,0.41366,0.40593,0.40593,48770186,AAPL
11/30/1984,0.40593,0.40853,0.39316,0.39443,30316603,AAPL
12/3/1984,0.39443,0.39699,0.38932,0.38932,27330541,AAPL
12/4/1984,0.39699,0.40593,0.39699,0.39699,33571272,AAPL
12/5/1984,0.41618,0.41618,0.41618,0.41618,73320817,AAPL
12/6/1984,0.43668,0.43927,0.43668,0.43668,88482241,AAPL
12/7/1984,0.43668,0.45335,0.43286,0.4354,137914578,AAPL
12/10/1984,0.4354,0.4354,0.42646,0.42646,31091217,AAPL
12/11/1984,0.42646,0.43286,0.42134,0.42134,34520809,AAPL
12/12/1984,0.42134,0.42134,0.40724,0.40724,30697671,AAPL
12/13/1984,0.41111,0.41874,0.41111,0.41111,18640984,AAPL
12/14/1984,0.41111,0.42516,0.41111,0.42134,26812043,AAPL
12/17/1984,0.43157,0.4354,0.43157,0.43157,34926875,AAPL
12/18/1984,0.45718,0.45845,0.45718,0.45718,94979083,AAPL
12/19/1984,0.45718,0.45845,0.43927,0.43927,88544707,AAPL
12/20/1984,0.43927,0.44694,0.43668,0.43668,38999900,AAPL
12/21/1984,0.43668,0.43927,0.42646,0.43157,34552047,AAPL
12/24/1984,0.43927,0.44052,0.43927,0.43927,18834649,AAPL
12/26/1984,0.44052,0.44566,0.44052,0.44052,18734702,AAPL
12/27/1984,0.44309,0.44566,0.44309,0.44309,27542935,AAPL
12/28/1984,0.44309,0.46103,0.44052,0.45845,46108958,AAPL
12/31/1984,0.46487,0.46742,0.46487,0.46487,57940741,AAPL
1/2/1985,0.46487,0.46487,0.44566,0.44566,48888858,AAPL
1/3/1985,0.45335,0.46487,0.45335,0.45335,46465028,AAPL
1/4/1985,0.45335,0.45589,0.44694,0.45335,38281489,AAPL
1/7/1985,0.45335,0.45589,0.45081,0.45081,47664469,AAPL
1/8/1985,0.45081,0.45589,0.44694,0.44694,39355963,AAPL
1/9/1985,0.45845,0.46487,0.45845,0.45845,46496285,AAPL
1/10/1985,0.47898,0.48027,0.47898,0.47898,77268906,AAPL
1/11/1985,0.47898,0.48291,0.46998,0.47512,57184863,AAPL
1/14/1985,0.48791,0.49298,0.48791,0.48791,75419782,AAPL
1/15/1985,0.48791,0.49685,0.47898,0.47898,73895529,AAPL
1/16/1985,0.48291,0.49056,0.48291,0.48291,52955655,AAPL
1/17/1985,0.48291,0.49056,0.44821,0.44821,152694928,AAPL
1/18/1985,0.44821,0.46742,0.44694,0.45718,98352467,AAPL
1/21/1985,0.46742,0.46998,0.46742,0.46742,90756134,AAPL
1/22/1985,0.48027,0.48291,0.48027,0.48027,118480242,AAPL
1/23/1985,0.48027,0.48291,0.47251,0.47251,120060735,AAPL
1/24/1985,0.47251,0.47251,0.46357,0.46357,110733964,AAPL
1/25/1985,0.46357,0.47251,0.45335,0.47251,88813324,AAPL
1/28/1985,0.48291,0.48791,0.48291,0.48291,114950679,AAPL
1/29/1985,0.48291,0.48671,0.47763,0.47763,62394851,AAPL
1/30/1985,0.47763,0.48671,0.47763,0.47763,137333627,AAPL
1/31/1985,0.47763,0.47898,0.46357,0.46357,77037771,AAPL
2/1/1985,0.46357,0.46487,0.45335,0.45718,38412687,AAPL
2/4/1985,0.46742,0.46872,0.46742,0.46742,60801850,AAPL
2/5/1985,0.46998,0.47898,0.46998,0.46998,52999380,AAPL
2/6/1985,0.47898,0.47898,0.47898,0.47898,54223780,AAPL
2/7/1985,0.47898,0.48535,0.47763,0.47763,68460656,AAPL
2/8/1985,0.47763,0.47898,0.46998,0.47763,36819699,AAPL
2/11/1985,0.48671,0.49056,0.48671,0.48671,96759474,AAPL
2/12/1985,0.48671,0.48791,0.47512,0.47512,63169469,AAPL
2/13/1985,0.47512,0.47512,0.45335,0.45335,146978950,AAPL
2/14/1985,0.45335,0.45718,0.44052,0.44052,119036199,AAPL
2/15/1985,0.44052,0.44821,0.43668,0.44694,48420341,AAPL
2/19/1985,0.44566,0.44566,0.44052,0.44052,41786041,AAPL
2/20/1985,0.44052,0.44309,0.42134,0.42134,61345349,AAPL
2/21/1985,0.42902,0.43157,0.42902,0.42902,85958457,AAPL
2/22/1985,0.42902,0.44566,0.42902,0.44052,63175710,AAPL
2/25/1985,0.44052,0.44309,0.4354,0.4354,27480461,AAPL
2/26/1985,0.4354,0.43668,0.42646,0.42646,52699519,AAPL
2/27/1985,0.42646,0.42646,0.40081,0.40081,112551851,AAPL
2/28/1985,0.40081,0.40081,0.39443,0.39443,88981989,AAPL
3/1/1985,0.39443,0.39699,0.38289,0.39699,69004139,AAPL
3/4/1985,0.40339,0.41491,0.40339,0.40339,42698113,AAPL
3/5/1985,0.41366,0.41366,0.41366,0.41366,36469866,AAPL
3/6/1985,0.41366,0.41366,0.39316,0.39316,53992643,AAPL
3/7/1985,0.39316,0.39443,0.35344,0.35344,204694810,AAPL
3/8/1985,0.35344,0.35344,0.33041,0.34319,132067403,AAPL
3/11/1985,0.35473,0.3573,0.35473,0.35473,79761443,AAPL
3/12/1985,0.36754,0.37138,0.36754,0.36754,61195418,AAPL
3/13/1985,0.36754,0.36754,0.34702,0.34702,70034906,AAPL
3/14/1985,0.34702,0.34962,0.34702,0.34702,67379925,AAPL
3/15/1985,0.34702,0.36883,0.34448,0.36112,50594286,AAPL
3/18/1985,0.36496,0.36883,0.36496,0.36496,34795683,AAPL
3/19/1985,0.36496,0.36883,0.35089,0.35089,47814386,AAPL
3/20/1985,0.35473,0.36112,0.35473,0.35473,112939166,AAPL
3/21/1985,0.36112,0.36754,0.36112,0.36112,45309357,AAPL
3/22/1985,0.36112,0.36754,0.35473,0.35473,22414173,AAPL
3/25/1985,0.35473,0.35473,0.34448,0.34448,30666419,AAPL
3/26/1985,0.35985,0.35985,0.35985,0.35985,33864887,AAPL
3/27/1985,0.35985,0.36241,0.34962,0.34962,31053747,AAPL
3/28/1985,0.34962,0.35473,0.34962,0.34962,36145026,AAPL
3/29/1985,0.34962,0.35473,0.34962,0.35344,24313240,AAPL
4/1/1985,0.35344,0.36112,0.34448,0.34448,31809629,AAPL
4/2/1985,0.34448,0.34702,0.33551,0.33551,63425588,AAPL
4/3/1985,0.33551,0.33681,0.33551,0.33551,67673532,AAPL
4/4/1985,0.33551,0.33681,0.32911,0.33297,45140683,AAPL
4/8/1985,0.33297,0.33551,0.31249,0.31249,55423212,AAPL
4/9/1985,0.31249,0.31507,0.31249,0.31249,73595683,AAPL
4/10/1985,0.33551,0.33938,0.33551,0.33551,63281919,AAPL
4/11/1985,0.34192,0.35089,0.34192,0.34192,40905235,AAPL
4/12/1985,0.34192,0.34192,0.33041,0.33297,20227720,AAPL
4/15/1985,0.34192,0.34448,0.34192,0.34192,16685685,AAPL
4/16/1985,0.34448,0.34702,0.34448,0.34448,18865893,AAPL
4/17/1985,0.36112,0.36496,0.36112,0.36112,34370888,AAPL
4/18/1985,0.36496,0.36754,0.36496,0.36496,56453959,AAPL
4/19/1985,0.36496,0.36496,0.3573,0.35985,26780809,AAPL
4/22/1985,0.35985,0.35985,0.34448,0.34448,28611169,AAPL
4/23/1985,0.35344,0.35473,0.35344,0.35344,32990296,AAPL
