name,protein,fat,fiber,carbo
100% Bran,4,1,10,5
100% Natural Bran,3,5,2,8
All-Bran,4,1,9,7
All-Bran with Extra Fiber,4,0,14,8
Almond Delight,2,2,1,14
Apple Cinnamon Cheerios,2,2,1.5,10.5
Apple Jacks,2,0,1,11
Basic 4,3,2,2,18
Bran Chex,2,1,4,15
Bran Flakes,3,0,5,13
Cap'n'Crunch,1,2,0,12
Cheerios,6,2,2,17
Cinnamon Toast Crunch,1,3,0,13
Clusters,3,2,2,13
Cocoa Puffs,1,1,0,12
Corn Chex,2,0,0,22
Corn Flakes,2,0,1,21
Corn Pops,1,0,1,13
Count Chocula,1,1,0,12
Cracklin' Oat Bran,3,3,4,10
Cream of Wheat (Quick),3,0,1,21
Crispix,2,0,1,21
Crispy Wheat & Raisins,2,1,2,11
Double Chex,2,0,1,18
Froot Loops,2,1,1,11
Frosted Flakes,1,0,1,14
Frosted Mini-Wheats,3,0,3,14
Fruit & Fibre Dates; Walnuts; and Oats,3,2,5,12
Fruitful Bran,3,0,5,14
Fruity Pebbles,1,1,0,13
Golden Crisp,2,0,0,11
Golden Grahams,1,1,0,15
Grape Nuts Flakes,3,1,3,15
Grape-Nuts,3,0,3,17
Great Grains Pecan,3,3,3,13
Honey Graham Ohs,1,2,1,12
Honey Nut Cheerios,3,1,1.5,11.5
Honey-comb,1,0,0,14
Just Right Crunchy  Nuggets,2,1,1,17
Just Right Fruit & Nut,3,1,2,20
Kix,2,1,0,21
Life,4,2,2,12
Lucky Charms,2,1,0,12
Maypo,4,1,0,16
Muesli Raisins; Dates; & Almonds,4,3,3,16
Muesli Raisins; Peaches; & Pecans,4,3,3,16
Mueslix Crispy Blend,3,2,3,17
Multi-Grain Cheerios,2,1,2,15
Nut&Honey Crunch,2,1,0,15
Nutri-Grain Almond-Raisin,3,2,3,21
Nutri-grain Wheat,3,0,3,18
Oatmeal Raisin Crisp,3,2,1.5,13.5
Post Nat. Raisin Bran,3,1,6,11
Product 19,3,0,1,20
Puffed Rice,1,0,0,13
Puffed Wheat,2,0,1,10
Quaker Oat Squares,4,1,2,14
Quaker Oatmeal,5,2,2.7,-1
Raisin Bran,3,1,5,14
Raisin Nut Bran,3,2,2.5,10.5
Raisin Squares,2,0,2,15
Rice Chex,1,0,0,23
Rice Krispies,2,0,0,22
Shredded Wheat,2,0,3,16
Shredded Wheat 'n'Bran,3,0,4,19
Shredded Wheat spoon size,3,0,3,20
Smacks,2,1,1,9
Special K,6,0,1,16
Strawberry Fruit Wheats,2,0,3,15
Total Corn Flakes,2,1,0,21
Total Raisin Bran,3,1,4,15
Total Whole Grain,3,1,3,16
Triples,2,1,0,21
Trix,1,1,0,13
Wheat Chex,3,1,3,17
Wheaties,3,1,3,17
Wheaties Honey Gold,2,1,1,16
